title,year,certificate,duration,gross,country,director,genre,ratings
Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,"$74,036,715 ",United States,Michel Gondry,Drama,8.3
Come and See,1985,Not Rated,2h 22m,,Soviet Union,Elem Klimov,Drama,8.3
Reservoir Dogs,1992,R,1h 39m,"$2,913,644 ",United States,Quentin Tarantino,Crime,8.3
The Hunt,2012,R,1h 55m,"$15,886,373 ",Denmark,Thomas Vinterberg,Drama,8.3
Lawrence of Arabia,1962,Approved,3h 38m,"$45,720,631 ",United Kingdom,David Lean,Adventure,8.2
Citizen Kane,1941,PG,1h 59m,,United States,Orson Welles,Drama,8.2
M,1931,Passed,1h 39m,,Germany,Fritz Lang,Crime,8.2
Ikiru,1952,Not Rated,2h 23m,,Japan,Akira Kurosawa,Drama,8.2
North by Northwest,1959,Approved,2h 16m,,United States,Alfred Hitchcock,Action,8.2
Vertigo,1958,PG,2h 8m,"$7,798,146 ",United States,Alfred Hitchcock,Mystery,8.2
The Apartment,1960,Approved,2h 5m,,United States,Billy Wilder,Comedy,8.2
Amélie,2001,R,2h 2m,"$174,122,191 ",France,Jean-Pierre Jeunet,Comedy,8.2
Double Indemnity,1944,Passed,1h 47m,,United States,Billy Wilder,Crime,8.2
A Clockwork Orange,1971,X,2h 16m,,United Kingdom,Stanley Kubrick,Crime,8.2
Full Metal Jacket,1987,R,1h 56m,"$46,358,827 ",United Kingdom,Stanley Kubrick,Drama,8.2
Scarface,1983,R,2h 50m,"$65,884,703 ",United States,Brian De Palma,Crime,8.2
Incendies,2010,R,2h 11m,"$6,788,659 ",Canada,Denis Villeneuve,Drama,8.2
Hamilton,2020,PG-13,2h 40m,,United States,Thomas Kail,Biography,8.2
Heat,1995,R,2h 50m,"$187,436,818 ",United States,Michael Mann,Action,8.2
Up,2009,PG,1h 36m,"$735,099,102 ",United States,Pete Docter,Animation,8.2
To Kill a Mockingbird,1962,Approved,2h 9m,"$599,146 ",United States,Robert Mulligan,Crime,8.2
The Sting,1973,PG,2h 9m,,United States,George Roy Hill,Comedy,8.2
A Separation,2011,PG-13,2h 3m,"$22,926,076 ",Iran,Asghar Farhadi,Drama,8.2
